Unnamed: 0,content,individual,groups,religion/creed,race/ethnicity,politics
5943,Chào nhà_báo vũ hoàng Lân ._Chào danh_hài vũ_trụ trần tiger : - ),2,1,0,0,0
6384,Anh Thi nào đi đăng_ký rủ anh nhé .,1,0,0,0,0
1057,ở mỹ ns cái lồn gì k đc,0,0,0,1,0
5258,"Thôn làm vậy là do thôn lầm , thôn lầm nên dân nó ghét , nó bật lại là thôn cái lù",0,0,0,0,0
7113,Phạm_Văn_Lộc fuho trời nắng chóng_mặt hả idol,1,0,0,0,0
6128,Có_vẻ là người nổi_tiếng : v,1,1,0,0,0
6629,ʚöɞPhong Trần_ʚöɞ Đoàn Chính Park Huyn Phong Tấn Đồng_quê ta gọi là gì 😂 😂,1,0,0,0,0
1110,Qua mặt j do fan minh hiếu vô chọc trần đoàn trước chi . Chó hùa,3,2,0,0,0
1862,"Đường_sắt Cát_Linh - Hà_Đông cũng vậy , dân cũng đóng thuế để nuôi cẩu quan và Tàu + ! ! !",3,3,0,0,3
6285,"Ơh khoan_khoan , Tùng ơi sao số 1 của con , lại là NGÓN_GIỮA vậy : ( (",1,1,0,0,0
8388,Dương Bé chết rồi trời từ con 17 nó lây loạn_xạ,1,0,0,0,0
6591,"Khổ ghê , đã bảo là không xem Dần nữa rồi ._Zị mà tấc nhiên là thấy cái mặt lại là tấc nhiên xem .",1,1,0,0,0
1799,Chi ba vang that kg so lua.chi ba giup e ._Khoa cai mieng con ho xuan huong o viet nam kg biet no dc bao nhieu tien ma si nhuc con nguoi ta 1 cach kinh tom,3,0,0,0,0
3634,"Chưa bao_giờ nền giáo_dục được như ngày hôm_nay , học_sinh nữ lột quần_áo đánh nhau ngoài đường , học_sinh nam đứng cổ_vũ , thầy_giáo giao_cấu với học_trò đến có thai , cô thì đánh học_sinh đến nhập_viện cấp_cứu , học_sinh ra đường như du_côn , đánh nhau như phim kiếm_hiệp , đấy gọi_là hạnh_phúc hả ông ?",0,3,0,0,0
7065,Chi goc hong nó luôn đi,1,0,0,0,0
7878,Cười chết được,1,1,0,0,0
5247,Tối_ngày Đi ra ngoài đường khùng khùng,0,0,0,0,0
350,Bon oc cho . ng gjup caj nay nguoi giup caj kia .... thay ng ta dc nhjeu ng men mo thj quay ra can dit noi xau ..,3,3,0,0,0
3009,Nguyễn_Minh_Thu chếtluondi,3,0,0,0,0
4992,bức_xúc đỏ_mặt,1,1,0,0,0
9096,Tài Tấn_Trần_bắn chết đứa nào trốn cách_li :),3,3,0,0,0
7887,Hơn rồi nhé,1,1,0,0,0
614,Nếu bảo chủ_tịch mặt như l ... thì ? ? ? ? ?,3,0,0,0,0
111,"báo viết tiếu thấy moẹ ! 2 thằng kia nó không bỏ phong_bì 1 tr usd cho mấy thằng duyệt thầu thì đúng hơn ! làm_việc với mấy thằng đuỹ xứ lừa mà thiếu "" bôi_trơn "" là không thông được chúng_nó đâu !",2,0,0,0,0
6448,có 1 sự_thật rằng nếu THP ko có nhiều tiền thì anh_Minh sẽ ko ngồi_tù ! Oke ! Nếu THP ko có nhiều tiền thì giám_định cái chai nó khác đi !,1,1,0,0,0
9931,"Đào Mạnh_An bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu trị nhé , nó còn không cho xét_nghiệm cơ , chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do virus hay không , ở ngoài đường mà đeo khẩu_trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều_trị",1,0,0,0,0
2073,hard làm cc gì nưax thầy . Cứ đanh Man_Phi_Te như vậy là ok rồi . Chắc_chắn lên vcsA,2,0,0,0,0
6301,Em sẽ sub cho abe kênh mới yên_tâm nha abe : >,1,1,0,0,0
8795,Ngon ...,1,1,0,0,0
7137,Hợp_lý anh ưi 🙄,1,0,0,0,0
8767,Tạ Thu Hằng ae gì đâu nhỉ 🤣,1,0,0,0,0
6996,Oker baybi oker baybi 🤣 🤣 🤣 🤣 🤣,1,1,0,0,0
6136,Hợp_lý 😆,1,1,0,0,0
173,"sông cửu_long thì bọn cẩu nó ngăn nước đầu nguồn , giờ miền trung thì xả chất_độc : ( chả có cái gì bọn cẩu này ko làm đc",3,3,0,0,0
8213,có bán vỉ 2 vien dùng thử ko,0,0,0,0,0
7728,người làm thầy 3 + sena + petlan và bố_già kalista thua mấy ngày nay,1,1,0,0,0
4966,Xin Quỳ,1,1,0,0,0
3942,Bọn chó chỉ biết ăn thôi,0,3,0,0,0
434,"đcm cái bọn "" Animal "" "" TAND_BT "" ăn_tiền nên mới xử như vậy .",3,3,0,0,0
9419,Cmt dạo để được fan cứng :)),1,1,0,0,0
8549,Nếu em nổi_tiếng giống thầy là em làm rồi,1,1,0,0,0
4237,"Ko lẻ bất_cứ nước nào nhận lao_động nước_ngoài thì nước đó trình_độ kém ? ? Ngu vl . Ngành luyện_kim : mổi cty mở ra đều đưa nhân_viên ra nước_ngoài thực_tập ( chủ_yếu ở Trung_Quốc ) , vì chuyên_môn yếu với_lại thiếu chuyên_cần , bất_cẩn . Các nhà_thầu TQ hầu_n",0,1,0,1,0
8503,Cá_mè một lứa,1,1,0,0,0
5513,có học_thức chỉ tiếc văn_hoá quá kém ... ý_thức thua cả một con chó,3,3,0,0,0
9424,Mình Hiểu nè mới biết you vì con SIC sanh nay ai ai,3,3,0,0,0
1942,"Khinh ng , khẩu nghiệp , sân_si , có ngày tr cho bà ăn_xin đấy nha , hok có đất mà chôn thân đấy",2,0,0,0,0
4430,"@ Tiktok_Official nói k lại rooid phán là chó hùa ._T chúng_tao đang nói đây đéo phải hàng real . Bớt xl lại ._Đéo có fan của ai đây hết . Bán vậy rồi nghiệp quật . Thử nghỉ cha_mẹ bây uống thuốc chống đột_quỵ .... Mà trúng thuốc giả rồi k có tác_dụng rồi_sao . Đéo biết suy_nghỉ . Ừ hàng giả nói giả . Rẻ cũng chạy . Bày_đặt real , hàng pháp .... Xạo l",0,3,0,0,0
7356,"Ơi là tr , Tao coi mà tao cười như thằng khùng luôn dị đó",2,0,0,0,0
3706,Con cho,3,3,0,0,0
5681,Justin Le Nguyen phục cái máu lồn,3,0,0,0,0
1436,"Nguyễn_Thuận_cmt 1 cái bị chửi như chó , thôi ráng bữa sau cmt nhớ lắp não vào nha",3,0,0,0,0
7657,Ngọcc Lingg cái bút xinh_xinh,1,0,0,0,0
7571,Ai thích bé này hơm :)))),1,1,0,0,0
2202,Thằng này bị cả hội eva bốc phốt mà dm thằng add còn cố đéo chịu hiểu mà đăng lên,3,0,0,0,0
9031,Mều Siu_Nhơn why :)) ?,1,0,0,0,0
2151,bọn công_an chỉ có việc là đi đàn_áp dân_đen thôi .,0,3,0,0,0
4229,Phan_Linh chán đéo muốn nói luôn,1,0,0,0,0
9101,Minh Hoàng ghê_ghê . Top r ông êi,1,0,0,0,0
7786,"Tâm Nguyễn_t mắc cười thật , Quốc_tịch VN thì không ở VN chứ ở đâu :))) có thấy người_ta chê cái VN này chưa , khi nào nó chê đi tao dô chưởi phụ dí mày :))) nó giàu nên nó đi chuyên_cơ riêng mình nó về rồi vô cách_ly luôn đó ba ạ",2,2,0,2,0
1941,"Đất_nước sẽ đi đâu về đâu khi đám bộ_trưởng , tổ_trưởng tổ tư_vấn của thủ_tướng toàn là đám vô_học , lưu_manh giả_danh trí_thức , thời_đại súc_vật lãnh_đạo con_người đây mà",0,3,0,0,3
8920,"I pray to Jesus , Sakya_Muni , Allah ! Please ! Please protect him !",0,0,0,0,0
3203,. ai khịa thầy là chetme đó nha,2,0,0,0,0
4530,Có não thì nên sử_dụng chứ cứ để nó đóng thành bê_tông thì lại phí 😒,0,0,0,0,0
3176,Bố con điên,3,0,0,0,0
6577,tuyet voi,1,1,0,0,0
